GEOID20,District
060855110004005,2
060855108022012,1
060855115011016,5
060855114004023,5
060855114004013,2
060855106003010,6
060855113024008,3
060855094012002,6
060855113024004,3
060855109002004,5
060855115012013,5
060855110003001,2
060855109001002,2
060855114001006,5
060855114001015,5
060855108012015,1
